start_ts,end_ts,total_pkts,total_bytes,unique_src,unique_dst
1773068283.162775,1773068286.162775,20,2648,2,2
1773068286.162775,1773068289.162775,16,2114,2,2
1773068289.162775,1773068292.162775,26,3433,2,2
1773068292.162775,1773068295.162775,14,1855,2,2
1773068295.162775,1773068298.162775,22,2915,2,2
1773068298.162775,1773068301.162775,12,1589,2,2
1773068301.162775,1773068304.162775,26,3435,2,2
1773068304.162775,1773068307.162775,16,2115,2,2
1773068307.162775,1773068310.162775,20,2647,2,2
1773068310.162775,1773068313.162775,18,2145,2,2
1773068313.162775,1773068316.162775,24,3168,2,2
1773068316.162775,1773068319.162775,14,1849,2,2
