start_ts,end_ts,total_pkts,total_bytes,unique_src,unique_dst,tcp_syn_count,udp_count,avg_pkt_len,mqtt_msg_count,mqtt_bytes,avg_mqtt_payload_len,unique_mqtt_endpoints
1773068063.960785,1773068066.960785,18,2384,2,2,0,0,132.44444444444446,9,1088,120.88888888888889,1
1773068066.960785,1773068069.960785,16,2118,2,2,0,0,132.375,8,966,120.75,1
1773068069.960785,1773068072.960785,20,2411,2,2,0,0,120.55,10,971,97.1,2
1773068072.960785,1773068075.960785,24,3166,2,2,0,0,131.91666666666666,12,1438,119.83333333333333,1
1773068075.960785,1773068078.960785,18,2380,2,2,0,0,132.22222222222223,9,1084,120.44444444444444,1
1773068078.960785,1773068081.960785,20,2650,2,2,0,0,132.5,10,1210,121.0,1
1773068081.960785,1773068084.960785,14,1854,2,2,0,0,132.42857142857142,7,846,120.85714285714286,1
1773068084.960785,1773068087.960785,26,3432,2,2,0,0,132.0,13,1560,120.0,1
1773068087.960785,1773068090.960785,14,1853,2,2,0,0,132.35714285714286,7,845,120.71428571428571,1
1773068090.960785,1773068093.960785,20,2648,2,2,0,0,132.4,10,1208,120.8,1
1773068093.960785,1773068096.960785,16,2120,2,2,0,0,132.5,8,968,121.0,1
1773068096.960785,1773068099.960785,18,2373,2,2,0,0,131.83333333333334,9,1077,119.66666666666667,1
