run,precision_before,recall_before,f1_before,precision_after,recall_after,f1_after,path
run_live_evasion_v1,,,,,,,experiments/run_live_evasion_v1
run_live_evasion_v10,,,,,,,experiments/run_live_evasion_v10
run_live_evasion_v2,,,,,,,experiments/run_live_evasion_v2
run_live_evasion_v3,,,,,,,experiments/run_live_evasion_v3
run_live_evasion_v4,,,,,,,experiments/run_live_evasion_v4
run_live_evasion_v5,,,,,,,experiments/run_live_evasion_v5
run_live_evasion_v6,,,,,,,experiments/run_live_evasion_v6
run_live_evasion_v7,,,,,,,experiments/run_live_evasion_v7
run_live_evasion_v8,,,,,,,experiments/run_live_evasion_v8
run_live_evasion_v9,,,,,,,experiments/run_live_evasion_v9
